Date,AXISBANK.NS,BHARTIARTL.NS,HEROMOTOCO.NS,HINDUNILVR.NS,INFY.NS,MARUTI.NS,RELIANCE.NS,TCS.NS,TITAN.NS,WIPRO.NS
2019-02-01,706.8714599609375,288.3885803222656,2245.03564453125,1594.5628662109375,643.9619140625,6528.580078125,1196.5216064453125,1775.16015625,1007.3816528320312,270.98443603515625
2019-03-01,774.31591796875,302.0350036621094,2222.605224609375,1570.77294921875,652.3370361328125,6378.35791015625,1325.013427734375,1791.4490966796875,1122.0042724609375,249.55926513671875
2019-04-01,763.9551391601562,316.3096923828125,2186.653076171875,1617.616455078125,658.9143676757812,6372.48046875,1353.7347412109375,2022.9825439453125,1138.4140625,292.4094543457031
2019-05-01,805.2486572265625,344.4546203613281,2333.25146484375,1645.9615478515625,646.9874267578125,6566.95947265625,1292.8419189453125,1965.8819580078125,1214.272216796875,280.50933837890625
2019-06-01,805.4977416992188,342.3314208984375,2247.285888671875,1645.133544921875,641.9449462890625,6246.53857421875,1217.9530029296875,1993.31298828125,1311.5023193359375,274.7306823730469
2019-07-01,671.5552978515625,333.3941650390625,2051.0673828125,1600.525634765625,705.8423461914062,5228.5419921875,1133.5390625,1990.0460205078125,1037.990234375,259.8432922363281
2019-08-01,662.2152099609375,342.47955322265625,2267.565185546875,1744.4354248046875,724.7412109375,5853.755859375,1213.5306396484375,2043.438232421875,1090.822509765625,249.16751098632812
2019-09-01,683.2616577148438,362.4772644042969,2384.55517578125,1837.177001953125,716.5147094726562,6509.24609375,1302.0538330078125,1898.4732666015625,1256.602783203125,234.86778259277344
2019-10-01,734.4813232421875,369.58758544921875,2384.0703125,2016.4501953125,609.7467651367188,7326.8994140625,1431.1595458984375,2052.526611328125,1314.0013427734375,253.96670532226562
2019-11-01,737.1744995117188,436.93798828125,2145.460693359375,1896.4361572265625,627.1029663085938,7022.99365234375,1515.992431640625,1893.84619140625,1144.717041015625,232.8109893798828
2019-12-01,752.186279296875,450.1216125488281,2153.83642578125,1791.798095703125,658.4423217773438,7141.9677734375,1479.7332763671875,1993.876708984375,1172.6021728515625,240.744384765625
2020-01-01,727.44921875,490.2652587890625,2205.67529296875,1895.457763671875,698.7872314453125,6700.865234375,1379.6541748046875,1917.6431884765625,1172.4046630859375,231.9294891357422
2020-02-01,695.5303955078125,516.9782104492188,1808.8590087890625,2026.37158203125,658.9375,6089.85400390625,1298.535400390625,1849.0579833984375,1238.29248046875,217.77085876464844
2020-03-01,378.0382080078125,435.4072570800781,1447.3819580078125,2141.6787109375,577.7073364257812,4156.4072265625,1088.5062255859375,1688.15576171875,921.6370239257812,193.4320526123047
2020-04-01,443.7709655761719,507.892822265625,1964.3851318359375,2045.2401123046875,644.3486328125,5193.982421875,1432.7723388671875,1875.8843994140625,957.517333984375,187.77757263183594
2020-05-01,383.9731140136719,545.7156982421875,2140.406494140625,1916.9818115234375,622.2848510742188,5438.2314453125,1444.77490234375,1836.6802978515625,878.5015869140625,209.26455688476562
2020-06-01,405.6180419921875,552.8753662109375,2309.12939453125,2031.263671875,671.7866821289062,5658.734375,1681.2626953125,1938.927001953125,937.5783081054688,216.0007781982422
2020-07-01,430.5545959472656,547.9376220703125,2426.582763671875,2073.176513671875,881.7799072265625,6070.13037109375,2039.39794921875,2130.71630859375,1029.7716064453125,276.2823181152344
2020-08-01,495.4893798828125,506.707763671875,2750.09228515625,1994.8463134765625,847.640625,6629.57763671875,2060.523681640625,2112.890869140625,1086.281982421875,266.7926330566406
2020-09-01,423.57232666015625,417.1710205078125,2879.315185546875,1948.5869140625,920.346435546875,6594.837890625,2212.68408203125,2332.908447265625,1190.393310546875,308.3406982421875
2020-10-01,491.2501525878906,429.8560791015625,2561.404052734375,1951.46044921875,968.1322631835938,6811.65185546875,2034.5777587890625,2494.423095703125,1155.1177978515625,335.0396728515625
2020-11-01,600.0732421875,459.09124755859375,2844.138916015625,2027.5301513671875,1014.8839721679688,6880.74462890625,1911.0870361328125,2518.97119140625,1348.785400390625,344.67681884765625
2020-12-01,618.87548828125,505.124267578125,2845.191162109375,2271.417724609375,1158.6282958984375,7481.01806640625,1966.0489501953125,2691.092041015625,1552.8570556640625,379.8328857421875
2021-01-01,661.2177734375,548.630126953125,2978.805419921875,2146.72412109375,1143.174560546875,7047.830078125,1824.0888671875,2924.78564453125,1407.346435546875,410.9570617675781
2021-02-01,722.9606323242188,551.305908203125,2949.484130859375,2021.6986083984375,1156.3216552734375,6714.833984375,2065.57421875,2725.927978515625,1394.068603515625,404.3904113769531
2021-03-01,695.6801147460938,512.656005859375,2669.310302734375,2305.649658203125,1262.1927490234375,6708.037109375,1983.6761474609375,2992.982421875,1543.840087890625,408.1849670410156
2021-04-01,713.0858154296875,531.931396484375,2582.779296875,2231.923583984375,1249.552734375,6313.38037109375,1975.15966796875,2859.054931640625,1478.0457763671875,485.65289306640625
2021-05-01,748.7949829101562,530.0980834960938,2755.337158203125,2218.93310546875,1285.904052734375,6930.1318359375,2139.351806640625,2975.37060546875,1581.691650390625,531.2860107421875
2021-06-01,746.4010009765625,520.9310913085938,2659.232177734375,2343.389404296875,1474.2188720703125,7350.26416015625,2090.18310546875,3166.529296875,1716.698974609375,537.7909545898438
2021-07-01,707.1010131835938,556.60791015625,2531.612060546875,2228.541259765625,1501.916259765625,6823.92529296875,2022.0478515625,2997.7802734375,1698.912841796875,578.6932983398438
2021-08-01,784.5040893554688,658.088623046875,2520.840087890625,2601.795166015625,1591.397216796875,6695.2255859375,2243.44677734375,3591.442626953125,1908.64208984375,631.7183837890625
2021-09-01,764.6046752929688,682.1209106445312,2604.183349609375,2580.496337890625,1562.2542724609375,7222.0888671875,2502.846923828125,3581.104248046875,2147.272216796875,624.967041015625
2021-10-01,740.1170043945312,679.1973876953125,2442.92138671875,2285.70361328125,1555.3065185546875,7364.158203125,2519.736083984375,3222.76171875,2367.47705078125,637.434814453125
2021-11-01,653.9861450195312,721.7122802734375,2251.87109375,2227.10107421875,1611.3341064453125,6956.10986328125,2389.738037109375,3353.81689453125,2359.481201171875,628.0716552734375
2021-12-01,676.8280029296875,677.6613159179688,2263.639404296875,2268.03857421875,1776.0755615234375,7309.09228515625,2352.730712890625,3552.623779296875,2505.390625,705.0467529296875
2022-01-01,771.0881958007812,722.7528076171875,2504.70458984375,2185.01025390625,1633.4908447265625,8461.439453125,2371.060546875,3550.6279296875,2344.3837890625,564.352783203125
2022-02-01,740.5159912109375,680.3370971679688,2331.076904296875,2087.328125,1614.1094970703125,8182.7646484375,2344.186767578125,3383.5576171875,2529.3779296875,548.6866455078125
2022-03-01,759.2183837890625,748.172607421875,2155.8564453125,1968.695556640625,1794.045654296875,7441.81103515625,2617.5947265625,3560.389404296875,2519.0478515625,584.32470703125
2022-04-01,726.7509765625,732.3657836914062,2355.546630859375,2147.62890625,1474.81787109375,7595.837890625,2772.082275390625,3376.417724609375,2441.62353515625,502.2881774902344
2022-05-01,683.461181640625,693.9140625,2606.6865234375,2261.40771484375,1414.65087890625,7840.46044921875,2615.50830078125,3202.82275390625,2201.056884765625,475.86053466796875
2022-06-01,635.1839599609375,678.801025390625,2555.75390625,2143.544921875,1389.9840087890625,8336.8896484375,2578.749267578125,3131.1923828125,1928.1595458984375,414.1445007324219
2022-07-01,722.9108276367188,671.8638305664062,2648.17529296875,2579.6787109375,1473.4647216796875,8634.904296875,2493.110595703125,3164.544677734375,2336.189453125,421.7594909667969
2022-08-01,750.73388671875,720.0770874023438,2734.78564453125,2601.637451171875,1419.506591796875,8938.7255859375,2620.77392578125,3085.693359375,2596.23828125,411.65594482421875
2022-09-01,732.4525756835938,796.2424926757812,2456.74853515625,2637.436279296875,1343.9173583984375,8745.84765625,2369.38037109375,2887.16552734375,2598.531005859375,392.4443664550781
2022-10-01,905.076416015625,828.1957397460938,2579.769287109375,2494.8759765625,1462.007568359375,9438.7763671875,2540.62548828125,3068.396484375,2752.581787109375,384.77960205078125
2022-11-01,900.3312377929688,844.869140625,2748.470458984375,2625.60107421875,1571.509765625,8890.486328125,2721.735595703125,3266.7578125,2644.432373046875,405.03643798828125
2022-12-01,932.798095703125,802.4141235351562,2639.520751953125,2521.806884765625,1449.6778564453125,8316.3388671875,2538.23388671875,3137.56298828125,2589.111572265625,390.95123291015625
2023-01-01,870.71142578125,766.77783203125,2663.03564453125,2537.266357421875,1474.236572265625,8812.37109375,2345.564453125,3235.831787109375,2369.47314453125,397.0233154296875
2023-02-01,843.239501953125,738.8560791015625,2331.3671875,2422.9453125,1429.8292236328125,8543.947265625,2314.374755859375,3256.311279296875,2365.13720703125,386.2262878417969
2023-03-01,857.6248168945312,745.5752563476562,2321.23291015625,2521.117919921875,1372.541748046875,8214.8447265625,2322.8447265625,3151.1865234375,2506.778076171875,364.47271728515625
2023-04-01,859.123291015625,795.6452026367188,2530.13232421875,2419.646728515625,1204.14013671875,8509.4716796875,2411.979736328125,3164.30859375,2633.318359375,384.1806640625
2023-05-01,913.9173583984375,846.013916015625,2729.1923828125,2626.675048828125,1267.1466064453125,9280.3671875,2461.205810546875,3233.360107421875,2814.132568359375,402.7909851074219
2023-06-01,986.443359375,874.73193359375,2877.721435546875,2637.11279296875,1283.67919921875,9697.7890625,2541.273193359375,3245.892333984375,3037.8076171875,388.32183837890625
2023-07-01,952.9276123046875,885.8309936523438,3168.0546875,2542.1552734375,1338.3765869140625,9729.193359375,2540.276611328125,3388.0693359375,2994.3486328125,404.18798828125
2023-08-01,973.5,852.4841918945312,2915.949951171875,2486.811279296875,1417.1075439453125,9910.537109375,2398.52734375,3332.694091796875,3104.449951171875,407.5308532714844
2023-09-01,1036.699951171875,926.4000244140625,3057.25,2447.6484375,1417.1075439453125,10610.599609375,2345.0,3503.26025390625,3148.800048828125,405.18585205078125
2023-10-01,981.8499755859375,914.4000244140625,3088.35009765625,2465.914306640625,1350.9144287109375,10392.2998046875,2287.89990234375,3344.55810546875,3189.64990234375,380.9874572753906
2023-11-01,1074.25,1014.7000122070312,3819.050048828125,2527.016357421875,1455.1500244140625,10608.7001953125,2377.449951171875,3471.51416015625,3490.60009765625,412.17095947265625
2023-12-01,1102.300048828125,1032.199951171875,4139.5498046875,2663.949951171875,1542.9000244140625,10302.349609375,2584.949951171875,3775.903564453125,3675.449951171875,470.2969970703125
2024-01-01,1067.75,1170.699951171875,4621.5498046875,2481.550048828125,1660.9000244140625,10186.900390625,2853.25,3798.349609375,3697.550048828125,477.1324462890625
